省级行政区,个数,地级行政区,县级行政区,景点名称,批次（按公布时间）
北京市,10,,东城区,故宫博物院,2007/05/08[7]
,,,,天坛公园,2007/05/08[7]
,,,海淀区,颐和园,2007/05/08[7]
,,,,圆明园景区,2020/01/07[8]
,,,延庆区,八达岭长城（八达岭-慕田峪长城）,2007/05/08[7]
,,,怀柔区,慕田峪长城旅游景区（八达岭-慕田峪长城）,2011/05/05[9]
,,,昌平区,明十三陵景区,2011/05/05[9]
,,,西城区,恭王府景区,2012/1/20
,,,朝阳区,奥林匹克公园,2012/11/6
,,,通州区,北京（通州）大运河文化旅游景区,2024/2/6
天津市,2,,南开区,天津古文化街旅游区（津门故里）,2007/05/08[7]
,,,蓟州区,天津盘山风景名胜区,2007/05/08[7]
河北省,13,秦皇岛市,山海关区,山海关景区,2007/05/08[7]
,,,,,2015/10/09取消
,,,,,
,,,,,2018/11/23恢复
,,保定市,安新县,安新白洋淀景区,2007/05/08[7]
,,,涞水县,野三坡景区,2011/1/17
,,,涞源县,白石山景区,2017/2/25
,,,易县,清西陵景区,2020/01/07[8]
,,承德市,双桥区,承德避暑山庄及周围寺庙景区,2007/05/08[7]
,,,滦平县,金山岭长城景区,2020/12/29
,,石家庄市,平山县,西柏坡景区,2011/9/6
,,唐山市,遵化市,清东陵景区,2015/10/15
,,,路南区,南湖·开滦旅游景区,2024/2/6
,,邯郸市,涉县,娲皇宫景区,2015/10/15
,,,永年区,广府古城景区,2017/2/25
,,衡水市,桃城区、冀州区,衡水湖旅游景区,2024/12/27
山西省,11,大同市,云冈区,云冈石窟,2007/05/08[7]
,,忻州市,五台县,五台山风景名胜区,2007/05/08[7]
,,,代县,雁门关景区,2017/2/25
,,晋城市,阳城县,皇城相府生态文化旅游区,2011/1/17
,,晋中市,介休市,介休绵山景区,2013/9/12
,,,祁县,乔家大院文化园区,2014/11/28
,,,平遥县,平遥古城景区,2015/7/13
,,临汾市,洪洞县,洪洞大槐树寻根祭祖园景区,2018/10/29
,,,乡宁县,云丘山景区,2020/12/29
,,,吉县,黄河壶口瀑布旅游区,2022/7/15
,,长治市,壶关县,壶关太行山大峡谷八泉峡景区,2020/01/07[8]
,,太原市,晋源区,晋祠天龙山景区,2024/12/27
内蒙古自治区,8,鄂尔多斯市,达拉特旗,响沙湾旅游景区,2011/1/17
,,,伊金霍洛旗,成吉思汗陵旅游区,2011/1/17
,,呼伦贝尔市,满洲里市,中俄边境旅游区,2016/11/4
,,,跨县级行政区,呼伦贝尔大草原·莫尔格勒河景区,2024/2/6
,,兴安盟,阿尔山市,阿尔山·柴河旅游景区,2017/2/25
,,赤峰市,克什克腾旗,哈斯哈图石阵旅游区,2018/10/29
,,阿拉善盟,额济纳旗,胡杨林旅游区,2020/01/07[8]
,,呼和浩特市,清水河县,老牛湾黄河大峡谷旅游区,2024/12/27
辽宁省,7,沈阳市,浑南区,沈阳市植物园,2007/05/08[7]
,,大连市,中山区,大连老虎滩海洋公园.老虎滩极地馆,2007/05/08[7]
,,,金州区,金石滩景区,2011/1/17
,,本溪市,本溪满族自治县,本溪水洞景区,2015/7/13
,,,桓仁满族自治县,五女山景区,2024/2/6
,,鞍山市,铁东区,千山景区,2017/2/25
